ItemLookupcode,Product_Line,Item_description ,G,Ke,Ko,N,O,"Condiments, Sauces and seasonings",Cookies and Crackers ,Cooking and baking,Health and Protein bars ,Savoury and Salty Snacks,Sweeteners,unique_customers,sales,units,sales_rank
85,Nutilight - No Sugar Added Sweet Nut Spreads,Hazelnut Spread with Cocoa,1,1,1,1,0,0,0,0,0,0,0,194,1475832,192088,1
180,Swerve - Ultimate Sugar Replacement (Foodservice Size),Bulk Icing Sugar Sweetener,1,1,1,1,0,0,0,0,0,0,1,92,975012,6872,2
2392,Nick's Sticks - 100% Grass-Fed Beef Sticks,Grass-Fed Nick's Sticks - Original Beef [25-Pack],1,1,0,1,0,0,0,0,0,1,0,167,968464,13172,3
8259,Swerve - Ultimate Sugar Replacement,Icing Sugar,1,1,1,1,0,0,0,0,0,0,1,195,964928,127412,4
8260,Swerve - Ultimate Sugar Replacement,Granular,1,1,1,1,0,0,0,0,0,0,1,193,943888,125124,5
8532,Joseph's Bakery,Pita,0,0,1,0,0,0,0,0,0,0,0,143,822304,270912,6
2920,SmartSweets - Stevia-Sweetened Gummy Bears,Stevia-Sweetened Sweet Fish - Berry [12-Pack],1,1,0,1,0,0,0,0,0,0,0,221,776432,26016,7
899,GluteNull Bakery - Low Carb Cookies in Clamshell Containers,Keto Lemon Coconut Cookies,1,1,0,1,0,0,1,0,0,0,0,141,727780,115016,8
5530,Joseph's Bakery,Lavash Bread,0,0,1,0,0,0,0,0,0,0,0,125,668756,218976,9
6037,Swerve - Ultimate Sugar Replacement,Brown Sugar,1,1,1,1,0,0,0,0,0,0,1,202,646576,87528,10
9607,PB2 - Powdered Peanut Butter,Large PB2 - Original,1,0,1,1,0,0,0,0,0,0,0,143,633748,74436,11
8679,Carbquik,Carbquik - Complete Biscuit and Baking Mix,0,1,1,0,0,0,0,1,0,0,0,142,570340,42608,12
912,Anthony's Goods,Organic Oat Fibre,1,1,0,1,1,0,0,1,0,0,0,162,561060,55236,13
8510,KZ Clean Eating - Paleo Friendly Breakfast Foods,Large Breakfast Cereal - Chunky Musli ,1,1,0,1,0,0,0,0,0,0,0,76,556424,42628,14
8512,KZ Clean Eating - High Fibre Scandinavian Crispbreads and Crackers,High Fibre Scandinavian Cracker - Parmesan,1,1,0,1,0,0,1,0,0,0,0,138,553560,74248,15
938,SmartSweets - Stevia-Sweetened Gummy Bears,Stevia-Sweetened Gummy Bears - Fruity [12-Pack],1,1,0,1,0,0,0,0,0,0,0,207,464592,15492,16
2393,Nick's Sticks - 100% Grass-Fed Beef Sticks,Grass-Fed Nick's Sticks - Spicy Beef [25-Pack],1,1,0,1,0,0,0,0,0,1,0,121,446688,6044,17
9515,Dixie Diner's Club - Monk Fruit Sweetener,Monk Fruit Spoonable Natural Sugar Replacement,1,1,0,1,0,0,0,0,0,0,1,82,445328,28812,18
7817,Swerve - Ultimate Sugar Replacement (Foodservice Size),Bulk Granular Sweetener,1,1,1,1,0,0,0,0,0,0,1,70,444688,3232,19
901,HoldTheCarbs - Low Carb Bake Mixes,Large Regular Almond Flour Pancake and Waffle Mix,1,1,0,1,0,0,0,1,0,0,0,113,440796,35940,20
5531,Joseph's Bakery,Tortillas,0,0,1,0,0,0,0,0,0,0,0,124,426276,139104,21
